PRODUTOR;CNPJ_PRODUTOR;PAIS_PRODUTOR;TITULO_ORIGINAL;CPB
(F) PRODUTORA DE CONTEUDO AUDIOVISUAL LIMITADA - BAIXADO;012.904.802/0001-05;BRASIL;BELEM BERLIN;B1301899800000
(F) PRODUTORA DE CONTEUDO AUDIOVISUAL LIMITADA - BAIXADO;012.904.802/0001-05;BRASIL;BOA NOITE;B1201591600000
(F) PRODUTORA DE CONTEUDO AUDIOVISUAL LIMITADA - BAIXADO;012.904.802/0001-05;BRASIL;CRISTINA;B1201589300000
(F) PRODUTORA DE CONTEUDO AUDIOVISUAL LIMITADA - BAIXADO;012.904.802/0001-05;BRASIL;FREUD SITS HERE;B1301841200000
(F) PRODUTORA DE CONTEUDO AUDIOVISUAL LIMITADA - BAIXADO;012.904.802/0001-05;BRASIL;O QUE EU QUERO, O QUE VOCÊ QUER;B1201545000000
(F) PRODUTORA DE CONTEUDO AUDIOVISUAL LIMITADA - BAIXADO;012.904.802/0001-05;BRASIL;OLHAR DE PRATA;B1402146900000
(F) PRODUTORA DE CONTEUDO AUDIOVISUAL LIMITADA - BAIXADO;012.904.802/0001-05;BRASIL;SATURDAY SUCKS;B1201641600000
(F) PRODUTORA DE CONTEUDO AUDIOVISUAL LIMITADA - BAIXADO;012.904.802/0001-05;BRASIL;SEASON FINALE - TAKE YOUR TIME;B1201640900000
***********;PESSOA FÍSICA;BRASIL;AMAZONAS, AMAZONAS;B0800858100000
+ 2 PRODUÇÕES CULTURAIS ME;010.539.519/0001-04;BRASIL;CALYPSO;B2300522000000
+ 2 PRODUÇÕES CULTURAIS ME;010.539.519/0001-04;BRASIL;CASA-CONSTRUÇÃO;B1101401700000
+2 PRODUÇÕES CULTURAIS - ME;010.539.519/0001-04;BRASIL;AS MUITAS MORTES DE ANTÔNIO PARREIRAS;B2000403400000
+2 PRODUÇÕES CULTURAIS - ME;010.539.519/0001-04;BRASIL;BADY;B2200347200000
+2 PRODUÇÕES CULTURAIS - ME;010.539.519/0001-04;BRASIL;BLASÉ - VINÍCIUS;B2200192300000
- FOX LATIN AMERICAN CHANNELS DO BRASIL LTDA;NÃO INFORMADO;ESTADOS UNIDOS;CIÊNCIA EM CASA - 1A TEMPORADA;B1301798400000
- FOX LATIN AMERICAN CHANNELS DO BRASIL LTDA;NÃO INFORMADO;ESTADOS UNIDOS;CIÊNCIA EM CASA - 2A TEMPORADA;B1301798500000
02 FILMES & VIDEOS LTDA - ME;072.026.990/0001-48;BRASIL;PUREZA;B1900572600000
05.485.038 ROBSON CLERIO SILVA;005.485.038/0001-15;BRASIL;INSIDE NOTE;B2400114900000
061 FILMS LTDA;017.380.926/0001-52;BRASIL;#ERADOSGIGANTES;B1700338200000
061 FILMS LTDA;017.380.926/0001-52;BRASIL;#UBERXTÁXIS;B1800354400000
061 FILMS LTDA;017.380.926/0001-52;BRASIL;DESENCADEOU;B1800165700000
061 FILMS LTDA;017.380.926/0001-52;BRASIL;GAME DEV BRASIL;B2400303000000
061 FILMS LTDA;017.380.926/0001-52;BRASIL;MEU AMIGO, MEU AVÔ;B1900478000000
061 FILMS LTDA;017.380.926/0001-52;BRASIL;O MENINO LEÃO E A MENINA CORUJA;B1800046500000
061 FILMS LTDA;017.380.926/0001-52;BRASIL;ÚRSULA TEM SEMPRE RAZÃO;B1500018700000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;DESDE O COMEÇO;B2400124100000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;FAVORITA;B2400128700000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;FIM DE SEMANA;B2300488800000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;LOCALIZAÇÃO;B2300497200000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;PENSO EM VOCÊ;B2100027600000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;PÉ NA PORTA;B2000326400000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;RESENHA;B2300499400000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;SEMPRE QUE ME VÊ;B2300494500000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;TUDO MUDOU;B2300499300000
1 KILO GRAVADORA E EDITORA EIRELI;029.318.673/0001-76;BRASIL;UM PEDIDO A MAIS;B2300494600000
1001 FILMES LTDA;035.892.546/0001-89;BRASIL;CHICO - ARTISTA BRASILEIRO;B1500777500000
1001 FILMES LTDA;035.892.546/0001-89;BRASIL;VINICIUS DE MORAES;B0500293600000
1111 FILMES E CONTEUDO LTDA;022.744.857/0001-59;BRASIL;GÊMEOS;B2500239000000
11453289 CANADA, INC.;NÃO INFORMADO;CANADÁ;GODLESS - ALÉM DA CRENÇA;B2300537800000
12 POLEGADAS SOLUÇÕES CULTURAIS LTDA;045.286.147/0001-28;BRASIL;MENINO DO FREVO: VIDA E OBRA DE CLAUDIONOR GERMANO;B2600126800000
12.413.832 GERALDO QUADROS BOMFIM;012.413.832/0001-19;BRASIL;INSIDE NOTE;B2400114900000
12.413.832 GERALDO QUADROS BOMFIM;012.413.832/0001-19;BRASIL;MUITO ALÉM DAS TELAS;B2100203000000
12.413.832 GERALDO QUADROS BOMFIM;012.413.832/0001-19;BRASIL;O ANJO TORTO;B2400008500000
12.413.832 GERALDO QUADROS BOMFIM;012.413.832/0001-19;BRASIL;O ÚLTIMO GOOOL;B2500189600000
12.433.961 VINICIUS DE CASTRO GOMES;012.433.961/0001-79;BRASIL;UM AMIGO NA NOITE;B2400413700000
125/5.6 PRODUÇÕES FOTOGRÁFICAS SOCIEDADE SIMPLES LTDA;096.293.733/0001-30;BRASIL;PLACAR A REVISTA MILITANTE;B2500088000000
13 PRODUÇÕES E LOCAÇÕES LTDA-ME;006.013.078/0001-27;BRASIL;CTRL_V VIDEO CONTROL;B1101516900000
13 PRODUÇÕES E LOCAÇÕES LTDA-ME;006.013.078/0001-27;BRASIL;FAVELA NO AR;B0901038000000
13 PRODUÇÕES E LOCAÇÕES LTDA-ME;006.013.078/0001-27;BRASIL;PELOS ESCOMBROS;B0901039100000
13 PRODUÇÕES E LOCAÇÕES LTDA-ME;006.013.078/0001-27;BRASIL;RAÇAMAN;B0901028200000
13 PRODUÇÕES E LOCAÇÕES LTDA-ME;006.013.078/0001-27;BRASIL;ROTAÇÃO 33 - DJ KL JAY - FITA MIXADA;B0901038100000
13 PRODUÇÕES E LOCAÇÕES LTDA-ME;006.013.078/0001-27;BRASIL;SABOTAGE;B0901038200000
13 PRODUÇÕES E LOCAÇÕES LTDA-ME;006.013.078/0001-27;BRASIL;SABOTAGE - SAI DA FRENTE;B0901064200000
13 PRODUÇÕES E LOCAÇÕES LTDA-ME;006.013.078/0001-27;BRASIL;SABOTAGE: O MAESTRO DO CANÃO;B1500166700000
13 PRODUÇÕES E LOCAÇÕES LTDA-ME;006.013.078/0001-27;BRASIL;VERSIFICANDO;B0900997500000
13.331.539 JANETE BUSTAMANTE DOS SANTOS;013.331.539/0001-75;BRASIL;PROGRAMA USANDO A LÍNGUA;B1700052800000
13.422.212 BRUNO DE OLIVEIRA FALCAO;013.422.212/0001-09;BRASIL;BATE-BOLAS CONTEMPORÂNEOS O CARNAVAL SECRETO DO RIO DE JANEIRO;B2000013300000
13.869.827 ANDREI DE JESUS FIALHO;013.869.827/0001-88;BRASIL;GRAVATAÍ, UM RIO EM MINHA VIDA;B1500224400000
14 AGENCIA DE CONTEUDO ESTRATEGICO LTDA;020.489.684/0001-44;BRASIL;MEDO DA CHUVA EM NOITE DE FRIO;B2200409400000
14 AGENCIA DE CONTEUDO ESTRATEGICO LTDA;020.489.684/0001-44;BRASIL;QUATRO DIAS COM EDUARDO;B2200384300000
14.050.179 GABRIEL HENRIQUE DE PAULA CARNEIRO;014.050.179/0001-04;BRASIL;ESBOÇANDO MIZIARA;B1900382200000
14.050.179 GABRIEL HENRIQUE DE PAULA CARNEIRO;014.050.179/0001-04;BRASIL;MEMÓRIA PRESENÇA;B2100035900000
14.050.179 GABRIEL HENRIQUE DE PAULA CARNEIRO;014.050.179/0001-04;BRASIL;MORTE E MORTE DE JOHNNY ZOMBIE;B1201545400000
14.494.267 DENIA DE FATIMA CRUZ SCKAFF;014.494.267/0001-97;BRASIL;LIBERDADE SEM CONDUTA;B2500361100000
14.759.882 ANA PAULA MARTINS GUALBERTO;014.759.882/0001-88;BRASIL;ENTARDECER;B2400484400000
14.926.451 RAFAEL SOARES GONCALVES;014.926.451/0001-69;BRASIL;AMICORITOS;B2500054900000
15.052.260 MARIANA DE CARVALHO ROCHA;015.052.260/0001-88;BRASIL;COMEMORATA;B2300506300000
15.073.902 CARLOS DE MATOS BANDEIRA;015.073.902/0001-25;BRASIL;CASA DE RETRATOS;B2500505700000
15.551.598 LUCIANO GUIMARAES DE FREITAS;015.551.598/0001-84;BRASIL;ENTRE MONTANHAS;B2400420000000
16 3 PRODUCOES ARTISTICAS E CULTURAIS LTDA;009.349.774/0001-05;BRASIL;RED;B1800131300000
16.842.308 BRUNA MARTINS CASTRO;016.842.308/0001-14;BRASIL;CALANGO CARETA: 10 ANOS DE ETERNO CARNAVAL;B2500506000000
16.901.052 LUCIANO DOS SANTOS ALVES;016.901.052/0001-79;BRASIL;BEIRA RIO SEM TETO SEM CHÃO;B2400082900000
16.929.855 NILTON MARQUES DOS SANTOS;016.929.855/0001-31;BRASIL;AS AVENTURAS DE BIG E PEPI;B2500243800000
16MM FILMES;011.774.084/0001-37;BRASIL;ESPAÇO LIVRE;B1101420300000
16X9 CINEMATOGRÁFICA LTDA.;000.366.522/0001-01;BRASIL;RASTRO DIGITAL ¿ A AVENTURA DA INFORMÁTICA NO BRASIL;B0800856800000
16X9 LAB LTDA;012.591.570/0001-82;BRASIL;SINFONIA DOS CINZAS;B2500143400000
17 FILMES E PRODUÇÕES LTDA.;036.204.331/0001-90;BRASIL;CLARICE NISKIER - TEATRO DOS PÉS À CABEÇA;B2400340100000
17.099.459 ANDREA CAMPAZ BOMBONATO;017.099.459/0001-97;BRASIL;REVOLUÇÃO VEGANA - ALIMENTANDO O FUTURO;B2600114000000
